id,content,target
31,【招商银行】您的信用卡额度可提升至100000元，登录链接：cmb-credit.com链接 申请,诈骗
32,【高德打车】您的行程已结束，支付金额35元。司机评分：5星，感谢使用。,非诈骗
33,【国家税务】您有一笔退税未领取，请登录链接：www.tax-refund.com链接 办理,诈骗
34,【微信团队】您的账户即将停用，请登录链接：weixin-verify.com链接 解除限制,诈骗
35,【中国邮政】您的包裹EM123456789CN已到达邮局，请凭取件码6789领取。,非诈骗
36,【淘宝网】您有一笔订单待支付，登录链接：taobao-order.com链接 立即支付,诈骗
37,【中国平安】您有50000元贷款额度待领取，登录链接：pingan-loan.com链接 申请,诈骗
38,【学信网】您的学历认证已通过，可登录学信网官网查询验证报告。,非诈骗
39,【快递公司】您的包裹需支付25元关税，请登录链接：www.kuaidi-tax.com链接 支付,诈骗
40,【中国银行】您的账户存在异常登录链接，请立即登录链接：boc-secure.com链接 核实,诈骗
41,【滴滴出行】您的行程费用已开具电子发票，可登录滴滴APP查看下载。,非诈骗
42,【京东白条】您有10000元免息额度待领取，登录链接：baitiao-credit.com链接 申请,诈骗
43,【社保中心】您的社保卡已过期，请登录链接：www.shebao-renewal.com链接 更新,诈骗
44,【中国工商银行】您尾号3456的信用卡于15:30消费280元，商户：星巴克。,非诈骗
45,【拼多多】您获得年度大促专属红包500元！点击领取链接：pdd-promo.com链接,诈骗
46,【中国移动】您的号码涉嫌发送垃圾短信，请登录链接：10086-check.com链接 解封,诈骗
47,【中国联通】您已成功订购20元20GB流量包，立即生效，有效期30天。,非诈骗
48,【支付宝】您的账户存在安全风险，请登录链接：alipay-safe.com链接 解除限制,诈骗
49,【快递通知】您的包裹清关失败，需支付50元手续费，登录链接：www.kuaidi-fee.com链接,诈骗
50,【中国银行】您于2023-05-16 10:20网上银行转账1000元至王五，手续费0元。,非诈骗
51,【微信支付】您的账户存在异常，请登录链接：wxpay-secure.com链接 验证身份,诈骗
52,【京东金融】您有88888元信用额度待领取，登录链接：jdjr-credit88.com链接 申请,诈骗
53,【美团】您预订的酒店已确认，入住时间：2023-05-20，订单号：MT123456。,非诈骗
54,【教育局】您孩子的学费补贴已到账，请登录链接：www.edu-fund.com链接 领取,诈骗
55,【支付宝】您的花呗额度可提升至150000元，登录链接：huabei-max.com链接 申请,诈骗
56,【中国移动】您本月套餐剩余流量2GB，通话剩余60分钟，有效期至月底。,非诈骗
57,【法院通知】您有未处理的诉讼案件，请立即联系：010-87654321 处理,诈骗
58,【淘宝】您有一笔订单待支付，登录链接：taobao-paynow.com链接 立即支付,诈骗
59,【中国建设银行】您尾号6789的储蓄卡于11:30ATM取现2000元，手续费2元。,非诈骗
60,【国家电网】您的电费账户异常，请登录链接：sgcc-check.com链接 核实信息,诈骗
61,【中国银联】您的账户存在风险交易，请登录链接：unionpay-check.com链接 核实,诈骗
62,【铁路12306】您预订的G123次列车将于明日10:30发车，请提前1小时到站。,非诈骗
63,【抖音】恭喜您获得平台补贴金888元！点击领取链接：douyin-bonus.com链接,诈骗
64,【医保局】您的医保账户即将停用，请登录链接：www.yibao-update.com链接 更新,诈骗
65,【顺丰速运】您的快递SF123456789已由快递柜签收，取件码：3456。,非诈骗
66,【微粒贷】您有80000元免息额度待领取，登录链接：weilidai-max.com链接 申请,诈骗
67,【中国银行】您的账户存在异常，请立即登录链接：boc-verify.com链接 验证,诈骗
68,【中国电信】尊敬的用户，您的话费余额不足5元，请及时充值以免停机。,非诈骗
69,【京东】您的订单支付失败，请登录链接：jd-repay.com链接 重新支付,诈骗
70,【建设银行】您的信用卡存在风险，请登录链接：ccb-secure.com链接 解除限制,诈骗
71,【微信】验证码：5678，用于账户安全验证，5分钟内有效。请勿泄露。,非诈骗
72,【拼多多】您获得新人专享红包300元！点击领取链接：pdd-newuser.com链接,诈骗
73,【航空公司】您的航班MU1234因天气原因取消，请拨打400-123-4567改签,诈骗
74,【中国农业银行】您尾号4567的信用卡本期账单已出，还款金额1500元。,非诈骗
75,【淘宝网】您有一笔订单待支付，登录链接：taobao-paynow.com链接 立即支付,诈骗
76,【中国平安】您有100000元贷款额度待领取，登录链接：pingan-max.com链接 申请,诈骗
77,【中国邮政】您的包裹EM987654321CN已到达邮局，请凭取件码7890领取。,非诈骗
78,【微信团队】您的账户异常，请登录链接：weixin-safe.com链接 解除限制,诈骗
79,【国家税务】您有一笔退税未领取，请登录链接：www.tax-refund123.com链接 办理,诈骗
80,【中国工商银行】您尾号2345的储蓄卡于16:40转账收入2000元，余额5200元。,非诈骗
81,【招商银行】您的信用卡额度可提升至150000元，登录链接：cmb-max.com链接 申请,诈骗
82,【高德打车】您的行程已结束，支付金额42元。司机评分：5星，感谢使用。,非诈骗
83,【快递公司】您的包裹需支付30元关税，请登录链接：www.kuaidi-duty.com链接 支付,诈骗
84,【中国银行】您的账户存在异常登录链接，请立即登录链接：boc-safe.com链接 核实,诈骗
85,【滴滴出行】您的行程费用已开具电子发票，可登录滴滴APP查看下载。,非诈骗
86,【京东白条】您有20000元免息额度待领取，登录链接：baitiao-max.com链接 申请,诈骗
87,【社保中心】您的社保卡已过期，请登录链接：www.shebao-up.com链接更新,诈骗
88,【中国工商银行】您尾号3456的信用卡于18:20消费350元，商户：海底捞。,非诈骗
89,【拼多多】您获得618大促专属红包400元！点击领取链接：pdd-618.com链接,诈骗
90,【中国移动】您的号码涉嫌违规操作，请登录链接：10086-safe.com链接 解封,诈骗
91,【中国联通】您已成功订购30元30GB流量包，立即生效，有效期30天。,非诈骗
92,【支付宝】您的账户存在安全风险，请登录链接：alipay-check.com链接 解除限制,诈骗
93,【快递通知】您的包裹清关失败，需支付60元手续费，登录链接：www.kuaidi-charge.com链接,诈骗
94,【中国银行】您于2023-05-16 12:30网上银行转账800元至赵六，手续费0元。,非诈骗
95,【微信支付】您的账户存在异常，请登录链接：wxpay-safe.com链接 验证身份,诈骗
96,【京东金融】您有99999元信用额度待领取，登录链接：jdjr-max.com链接 申请,诈骗
97,【美团】您预订的酒店已确认，入住时间：2023-05-21，订单号：MT654321。,非诈骗
98,【教育局】您孩子的教育补贴已到账，请登录链接：www.edu-money.com链接 领取,诈骗
99,【支付宝】您的花呗额度可提升至200000元，登录链接：huabei-top.com链接 申请,诈骗
100,【中国移动】您本月套餐剩余流量3GB，通话剩余90分钟，有效期至月底。,非诈骗
101,【工商银行】您的账户存在异常，请立即登录链接：http://icbc.secure.com链接 验证身份，否则账户将被冻结！,诈骗
102,【招商银行】您尾号8899的账户于09:15转入5000元，当前余额12500元。,非诈骗
103,【公安局】您涉嫌洗钱犯罪，请立即联系王警官：13800138000，否则将签发逮捕令！,诈骗
104,【顺丰快递】您的包裹SF123456789已到达菜鸟驿站，请凭取件码1234领取。,非诈骗
105,恭喜您获得淘宝周年庆特等奖！点击领取链接：http://taobao.gift.com链接验证码：8888,诈骗
106,【微信】验证码：3456，用于登录，5分钟内有效。切勿告知他人。,非诈骗
107,高薪兼职！日结500-800元，加QQ群：12345678，工作轻松无压力！,诈骗
108,【中国移动】您本月套餐剩余流量5GB，通话剩余120分钟，有效期至月底。,非诈骗
109,【医保中心】您的医保卡已停用，请登录链接www.yibao-update.com链接更新信息！,诈骗
110,【京东】订单JD12345678已发货，物流单号：SF987654321，点击查询：jd.com链接,非诈骗
111,我是张主任，这是我的新号码，请惠存。明天上午来我办公室一趟。,诈骗
112,【滴滴出行】您的行程已结束，支付金额28元。感谢使用滴滴服务。,非诈骗
113,【建设银行】您的信用卡积分即将过期，请登录链接：ccb.points.com链接 兑换礼品,诈骗
114,【支付宝】您于2023-05-15 14:30向*小明转账200元，当前余额3500元。,非诈骗
115,点击领取链接微信红包！http://weixin.hongbao.com链接 输入验证码1234领取88元,诈骗
116,【中国电信】尊敬的用户，您的话费余额不足10元，请及时充值。,非诈骗
117,【法院通知】您有未处理的传票，请立即联系：010-87654321，否则将强制执行！,诈骗
118,【美团】您的外卖订单已由骑手接单，预计30分钟内送达，请保持手机畅通。,非诈骗
119,【淘宝】恭喜您获得618购物节抽奖资格！点击领取链接：http://taobao.lucky.com链接,诈骗
120,【中国银行】您申请的信用卡已通过审核，预计7个工作日内寄送至您预留地址。,非诈骗
121,【社保局】您的社保卡存在异常，请登录链接www.shebao-123.com链接更新信息！,诈骗
122,【铁路12306】订单E123456789已出票，乘车人：张三，车次G123，座位号05车12D。,非诈骗
123,【微粒贷】您有50000元额度待领取，登录链接：http://weilidai.com链接 立即申请！,诈骗
124,【中国联通】您本月套餐内流量已使用80%，剩余2GB，有效期至本月31日。,非诈骗
125,【京东金融】您的白条有10000元提额机会，登录链接：http://jdjr.com链接 立即领取！,诈骗
126,【学信网】验证码：7890，用于学历查询，5分钟内有效。请勿泄露。,非诈骗
127,【教育局】您孩子的助学金尚未领取，请登录链接：www.jiaoyu-123.com链接 办理,诈骗
128,【饿了么】您的外卖订单已送达，请给予评价。感谢您选择饿了么！,非诈骗
129,【腾讯科技】恭喜您的QQ号被抽中为幸运用户，获得iPhone14一部！点击领取链接：http://qq.gift.com链接,诈骗
130,【中国邮政】您的包裹已到达邮局，请凭取件码4567至附近邮局领取。,非诈骗
131,【中国移动】您的积分即将过期，请登录链接：10086.points.com链接 兑换礼品,诈骗
132,【个人所得税】您2022年度个人所得税汇算清缴已开始，请通过官方APP办理。,非诈骗
133,【抖音】恭喜您获得创作者激励奖金888元！点击领取链接：http://douyin.bonus.com链接,诈骗
134,【中国工商银行】您尾号3456的信用卡本期账单金额1200元，还款日05月25日。,非诈骗
135,【海关通知】您有一个包裹被扣留，请支付清关费200元，联系：13800138000,诈骗
136,【高德地图】您预订的酒店已确认，入住时间：2023-05-20，订单号：GD123456。,非诈骗
137,【拼多多】您获得618购物节专属红包100元！点击领取链接：http://pdd.hongbao.com链接,诈骗
138,【中国建设银行】您于2023-05-15 15:30在POS机消费150元，商户：沃尔玛。,非诈骗
139,【中国银联】您的账户存在风险，请立即登录链接：unionpay.secure.com链接 验证身份,诈骗
140,【国家卫健委】请及时接种新冠疫苗加强针，查询附近接种点：http://nhc.gov.cn,非诈骗
141,【京东】您的订单存在支付问题，请登录链接：jd.payment.com链接 重新验证支付信息,诈骗
142,【中国农业银行】您尾号5678的账户于16:20ATM取现2000元，手续费2元。,非诈骗
143,【航空公司】您的航班已取消，请拨打400-123-4567办理改签或退款,诈骗
144,【携程旅行】您预订的机票已出票，航班号CA1234，起飞时间2023-05-20 08:30。,非诈骗
145,【微信团队】您的微信账户异常，请登录链接：weixin.verify.com链接 解除限制,诈骗
146,【中国气象局】暴雨黄色预警：预计未来6小时本市将出现强降雨，请注意防范。,非诈骗
147,【支付宝】您的花呗额度可提升至50000元，登录链接：http://huabei.com链接 立即申请,诈骗
148,【中国银行】您于2023-05-15 17:00网上银行转账500元至李四，手续费0元。,非诈骗
149,【国家电网】您的电费账户余额不足，请登录链接：sgcc.payment.com链接 立即缴费,诈骗
150,【国务院客户端】2023年度个人所得税专项附加扣除已开始确认，请及时办理。,非诈骗
151,【中国银行】您的账户涉嫌洗钱，请立即登录链接：www.boc-security.com链接 配合调查,诈骗
152,【微信】您的账户存在异常交易，登录链接：wx.verify-pay.com链接 解除限制,诈骗
153,【中国移动】您已成功办理20元20GB流量包，立即生效，有效期30天。,非诈骗
154,【京东白条】您有50000元免息额度待领取，登录链接：baitiao-credit.com链接,诈骗
155,【社保局】您的社保卡即将注销，请登录链接：www.shebao-update.cn链接 延期,诈骗
156,【支付宝】您的花呗可提额至100000元，登录链接：huabei-credit.cn链接 申请,诈骗
157,【顺丰速运】您的快递SF123456789已发出，预计明日送达，请保持电话畅通。,非诈骗
158,【中国银联】检测到异常交易，请登录链接：unionpay-secure.cn链接 核实信息,诈骗
159,【抖音】恭喜获得年度幸运用户！点击领取链接iPhone15：douyin-gift.cn链接,诈骗
160,【医保中心】您的医保账户被冻结，请登录链接：yibao-activate.com链接 解冻,诈骗
161,【中国工商银行】您尾号3456的账户于09:15转入3000元，余额6500元。,非诈骗
162,【拼多多】您获得双12专属红包500元！点击领取链接：pdd-bonus.com链接,诈骗
163,【航空公司】您的航班MU5678因故障取消，请拨打400-789-1234改签,诈骗
164,【铁路12306】订单D20230516已出票，乘车人：李四，车次D123，座位06车12F。,非诈骗
165,【微粒贷】您有88888元额度待领取，免息30天，登录链接：weilidai-loan.cn链接,诈骗
166,【国家电网】您的电费账户异常，请登录链接：sgcc-payment.cn链接 处理,诈骗
167,【中国联通】您本月套餐剩余流量3GB，通话剩余100分钟，有效期至月底。,非诈骗
168,【淘宝】您的订单支付失败，请登录链接：taobao-repay.com链接 重新支付,诈骗
169,【建设银行】您的信用卡存在风险，请登录链接：ccb-verify.cn链接 解除限制,诈骗
170,【美团】您的外卖订单已由骑手王师傅接单，预计25分钟内送达。,非诈骗
171,【快递公司】您的包裹需支付35元关税，请登录链接：kuaidi-tax.cn链接 支付,诈骗
172,【招商银行】您的信用卡可提额至150000元，登录链接：cmb-credit.cn链接 申请,诈骗
173,【微信】验证码：6789，用于账户登录，5分钟内有效。请勿泄露。,非诈骗
174,【教育局】您孩子的助学金已到账，请登录链接：edu-fund.cn链接 领取,诈骗
175,【中国平安】您有200000元贷款额度，登录链接：pingan-loan.cn链接 领取,诈骗
176,【中国邮政】您的包裹EM987654321已到达邮局，请凭取件码4567领取。,非诈骗
177,【微信团队】您的账户异常，请登录链接：weixin-verify.cn链接 解除限制,诈骗
178,【国家税务】您有一笔退税未领取，请登录链接：tax-refund.cn链接 办理,诈骗
179,【中国农业银行】您尾号7890的信用卡本期账单金额1800元，还款日28日。,非诈骗
180,【抖音商城】您获得新人礼包888元！点击领取链接：douyin-coupon.cn链接,诈骗
181,【快递通知】您的包裹派送失败，请登录链接：kuaidi-resend.cn链接 重新安排,诈骗
182,【中国电信】尊敬的用户，您的话费余额不足15元，请及时充值。,非诈骗
183,【腾讯科技】您的微信账号被抽中为幸运用户，点击领取链接MacBook Pro,诈骗
184,【中国银行】您的账户存在安全风险，请登录链接：boc-security.cn链接 验证,诈骗
185,【滴滴出行】您的行程已结束，支付金额48元。司机评分：5星。,非诈骗
186,【京东金融】您有150000元额度待领取，登录链接：jdjr-credit.cn链接 申请,诈骗
187,【社保中心】您的社保卡已过期，请登录链接：shebao-renew.cn链接 更新,诈骗
188,【中国工商银行】您尾号4567的储蓄卡于14:30消费280元，商户：必胜客。,非诈骗
189,【拼多多】您获得年货节红包600元！点击领取链接：pdd-coupon.cn链接,诈骗
190,【中国移动】您的号码涉嫌违规，请登录链接：10086-verify.cn链接 解封,诈骗
191,【中国联通】您已成功办理30元30GB流量包，立即生效，有效期30天。,非诈骗
192,【支付宝】您的账户存在风险，请登录链接：alipay-verify.cn链接 解除限制,诈骗
193,【快递通知】您的包裹清关失败，需支付60元手续费，登录链接：kuaidi-fee.cn链接,诈骗
194,【中国银行】您于2023-05-17 11:20网上银行转账1200元，手续费0元。,非诈骗
195,【微信支付】您的账户异常，请登录链接：wxpay-verify.cn链接 验证身份,诈骗
196,【京东白条】您有30000元免息额度，登录链接：baitiao-max.cn链接 领取,诈骗
197,【美团】您预订的酒店已确认，入住时间：2023-05-22，订单号：MT789012。,非诈骗
198,【教育局】您孩子的教育补贴已发放，请登录链接：edu-money.cn链接 领取,诈骗
199,【支付宝】您的花呗可提额至250000元，登录链接：huabei-max.cn链接 申请,诈骗
200,【中国移动】您本月套餐剩余流量4GB，通话剩余120分钟，有效期至月底。,非诈骗
201,【央行监管】检测到您账户异常，请立即登录链接：www.pbc-secure.com链接 核实身份,诈骗
202,【微信】您的零钱账户已被限制，登录链接：wx.activate-pay.com链接 解除,诈骗
203,【中国电信】您已成功续约家庭宽带套餐，月费维持199元不变。,非诈骗
204,【京东】您获得PLUS会员年费1折资格！登录链接：jd-vip.cc链接 抢购,诈骗
205,【公积金中心】您的账户将于24小时后冻结，登录链接：www.zfgjj-lock.com链接 延期,诈骗
206,【借呗】您有156000元额度待领取，登录链接：jiebei-credit.cn链接 申请,诈骗
207,【韵达快递】您的包裹YD1234567890已到达菜鸟驿站，取件码：7890,非诈骗
208,【银保监会】您的账户涉嫌违规，请登录链接：www.cbirc-check.com链接 处理,诈骗
209,【快手】恭喜您成为年度幸运用户！点击领取链接华为Mate60：kuaishou-gift.cn链接,诈骗
210,【医保局】您的医保卡已失效，请登录链接：yibao-reactivate.com链接 激活,诈骗
211,【招商银行】您尾号6789的账户于10:45转账收入5000元，余额12500元。,非诈骗
212,【淘宝】您获得双12专属优惠券1000元！登录链接：taobao-coupon.cc链接,诈骗
213,【南方航空】您的航班CZ5678因机械故障取消，请拨打400-789-5678改签,诈骗
214,【中国国航】订单CA20230520已出票，航班CA1234，座位32A，请提前2小时值机,非诈骗
215,【360借条】您有99999元免息额度，登录链接：360-jietiao.cn链接 立即领取,诈骗
216,【自来水公司】您的账户异常，请登录链接：water-payment.cn链接 缴纳欠费,诈骗
217,【中国广电】您本月套餐剩余流量8GB，有效期至2023-05-31。,非诈骗
218,【天猫】您的订单支付异常，请登录链接：tmall-pay.com链接 重新验证,诈骗
219,【农业银行】您的储蓄卡存在风险，请登录链接：abc-secure.cn链接 解除限制,诈骗
220,【饿了么】您的外卖订单已由骑手李师傅接单，预计20分钟内送达。,非诈骗
221,【DHL快递】您的包裹需支付48元清关税，登录链接：dhl-tax.com链接 支付,诈骗
222,【交通银行】您的信用卡可提额至200000元，登录链接：bankcomm-up.cc链接 申请,诈骗
223,【支付宝】验证码：8899，用于身份验证，5分钟内有效。请勿泄露。,非诈骗
224,【教育局】2023年助学金已到账，登录链接：edu-funds.cn链接 领取,诈骗
225,【平安银行】您有300000元信用贷额度，登录链接：payh-loan.cn链接 领取,诈骗
226,【中国邮政】您的包裹YT987654321已到达邮局，请凭取件码3456领取。,非诈骗
227,【腾讯】您的微信账号异常，请登录链接：wechat-verify.cc链接 解除限制,诈骗
228,【税务局】您有6580元退税未领取，请登录链接：tax-refund2023.cn链接 办理,诈骗
229,【浦发银行】您尾号8899的信用卡本期账单金额2500元，还款日05-30。,非诈骗
230,【小红书】您获得新人专享礼包888元！点击领取链接：xiaohongshu-gift.cn链接,诈骗
231,【FedEx】您的国际包裹派送失败，请登录链接：fedex-resend.cn链接 重新安排,诈骗
232,【中国移动】尊敬的用户，您的话费余额不足20元，请及时充值。,非诈骗
233,【字节跳动】恭喜您成为抖音年度锦鲤！点击领取链接现金红包18888元,诈骗
234,【中国银行】检测到境外异常登录链接，请立即登录链接：boc-verify.cc链接 核实,诈骗
235,【T3出行】您的行程已结束，支付金额56元。感谢您选择T3出行。,非诈骗
236,【苏宁金融】您有188888元额度待领取，登录链接：snjr-credit.cn链接 申请,诈骗
237,【人社局】您的社保卡已停用，请登录链接：hrss-activate.com链接 激活,诈骗
238,【中信银行】您尾号1122的储蓄卡于15:20消费380元，商户：海底捞。,非诈骗
239,【唯品会】您获得周年庆红包800元！点击领取链接：vip-shop.cc链接,诈骗
240,【中国联通】您的号码涉嫌诈骗，请登录链接：10010-safe.cn链接 解封,诈骗
241,【中国电信】您已成功办理5G畅享套餐，月费129元，含30GB流量。,非诈骗
242,【花呗】您的账户存在风险，请登录链接：huabei-secure.cn链接 解除限制,诈骗
243,【UPS快递】您的包裹需支付75元关税，登录链接：ups-duty.cn链接 支付,诈骗
244,【光大银行】您于2023-05-18 09:15转账支出800元，手续费0元。,非诈骗
245,【财付通】您的账户异常，请登录链接：tenpay-verify.cc链接 验证身份,诈骗
246,【京东】您有50000元白条免息券，登录链接：jd-baitiao.cn链接 领取,诈骗
247,【携程】您预订的酒店已确认，入住时间：2023-05-25，订单号：XC789456。,非诈骗
248,【财政部】2023年个税补贴已发放，登录链接：mof-subsidy.cn链接 领取,诈骗
249,【网商银行】您的信用额度可提升至500000元，登录链接：mybank-up.cc链接,诈骗
250,【中国移动】您本月套餐剩余通话200分钟，有效期至2023-05-31。,非诈骗
251,【国家金融办】您的账户存在洗钱风险，请立即登录链接：www.jrb-verify.net 核实,诈骗
252,【微信】您的支付功能已被限制，点击链接：wx-paylock.com 解除冻结,诈骗
253,【中国联通】您已成功办理29元30GB流量套餐，立即生效。,非诈骗
254,【淘宝】您获得双12超级补贴！点击链接：taobao-discount.cc 领取,诈骗
255,【住房公积金】您的账户24小时后停用，登录链接：www.zzgjj-resume.net 激活,诈骗
256,【美团月付】您有88888元额度待领取，点击链接：meituan-credit.net 申请,诈骗
257,【中通快递】您的包裹ZT123456789已签收，签收人：前台代收。,非诈骗
258,【金融监管局】检测到异常交易，请登录链接：jrjg-check.net 处理,诈骗
259,【B站】恭喜获得年度大会员！点击链接：bilibili-vip.cc 领取,诈骗
260,【社保局】您的社保卡已锁定，登录链接：shbx-unlock.net 解锁,诈骗
261,【中国银行】您尾号8899的账户于11:20转入8000元，余额18500元。,非诈骗
262,【拼多多】您获得新年红包1288元！点击链接：pdd-hongbao.net 提现,诈骗
263,【东方航空】您的航班MU8765取消，请拨打400-123-8765或登录链接：ceair-refund.net 改签,诈骗
264,【南方航空】订单CZ20230521已出票，航班CZ5678，座位15C。,非诈骗
265,【分期乐】您有66666元免息额度，点击链接：fenqile-loan.cc 领取,诈骗
266,【电力公司】您的电表异常，请登录链接：power-pay.net 缴纳违约金,诈骗
267,【中国广电】您本月剩余视频流量15GB，有效期至2023-05-31。,非诈骗
268,【天猫超市】订单支付失败，请登录链接：tmall-retry.net 重新支付,诈骗
269,【邮储银行】您的账户存在风险，登录链接：psbc-secure.cc 解除,诈骗
270,【叮咚买菜】您购买的蔬菜水果已由骑手接单，预计30分钟内送达。,非诈骗
271,【顺丰国际】您的包裹需支付85元关税，登录链接：sf-globalpay.net 支付,诈骗
272,【广发银行】信用卡可提额至300000元，点击链接：cgb-upgrade.cc 申请,诈骗
273,【云闪付】验证码：1122，用于修改支付密码，5分钟内有效。,非诈骗
274,【助学金中心】2023年补贴已发放，登录链接：zxjjz-claim.net 领取,诈骗
275,【民生银行】您有500000元信用贷额度，点击链接：cmbc-credit.cc 领取,诈骗
276,【EMS】您的快递EM123456789CN正在派送，派送员王师傅138****1234,非诈骗
277,【QQ安全中心】您的账号异常，登录链接：qq-security.net 解除限制,诈骗
278,【国税局】您有8860元退税未领取，登录链接：chinatax-refund.net 办理,诈骗
279,【兴业银行】您尾号3344的信用卡本期账单3200元，还款日06-05。,非诈骗
280,【得物】您获得潮鞋专属补贴1500元！点击链接：dewu-coupon.cc 领取,诈骗
281,【UPS】国际包裹清关失败，登录链接：ups-clearance.net 支付手续费,诈骗
282,【中国移动】尊敬的用户，您的话费余额不足10元，请及时充值。,非诈骗
283,【今日头条】恭喜抽中年度锦鲤！点击链接：toutiao-lucky.cc 领奖,诈骗
284,【建设银行】检测到可疑登录，请立即登录链接：ccb-protect.net 核实,诈骗
285,【曹操出行】行程已结束，支付金额39元。感谢您选择曹操出行。,非诈骗
286,【度小满】您有288888元额度待领取，点击链接：duxiaoman-loan.net 申请,诈骗
287,【人社局】您的社保卡已注销，登录链接：rsj-reactivate.cc 恢复,诈骗
288,【华夏银行】您尾号5566的储蓄卡于16:40消费420元，商户：星巴克。,非诈骗
289,【唯品会】您获得周年庆红包1200元！点击链接：vip-coupon.cc 领取,诈骗
290,【中国电信】您的号码涉嫌诈骗，登录链接：189-safe.net 解封,诈骗
291,【中国联通】您已成功办理5G冰激凌套餐，月费129元，含40GB流量。,非诈骗
292,【白条】您的账户存在风险，点击链接：baitiao-secure.net 解除限制,诈骗
293,【DHL】您的包裹需支付95元关税，登录链接：dhl-chinatax.net 支付,诈骗
294,【光大银行】您于2023-05-19 10:30转账支出600元，收款人：张三。,非诈骗
295,【财付通】账户异常，请登录链接：tenpay-verify.net 验证身份,诈骗
296,【京东】您有80000元白条免息券，点击链接：jd-credit.cc 领取,诈骗
297,【同程旅行】您预订的酒店已确认，入住时间：2023-05-26。,非诈骗
298,【财政部】2023年消费补贴已发放，登录链接：czb-subsidy.net 领取,诈骗
299,【微众银行】您的额度可提升至800000元，点击链接：webank-up.cc 申请,诈骗
300,【中国移动】您本月剩余国内通话300分钟，国际通话30分钟。,非诈骗
301,您的快递已到达小区快递柜,非诈骗
302,恭喜您获得大奖，点击链接领取,诈骗
303,您的订单已支付成功，请耐心等待发货。,非诈骗
304,您的银行账户有异常登录！请立即点击链接验证身份：http://secure-bank-verify.com，否则账户将被冻结。,诈骗
305,恭喜您中了100万元大奖！回复“YES”领取，需预付手续费500元至账号：1234567890。,诈骗
306,妈妈，我手机丢了，急需钱！速汇1000元到朋友卡上：9876543210，别打电话。,诈骗
307,税务局通知：您有未缴税款2000元，请24小时内支付至官方链接：http://tax-payment-now.com，避免法律行动。,诈骗
308,限时特惠！iPhone 15半价抢购，仅需支付运费99元。点击下单：http://super-deals-store.com。,诈骗
309,高回报投资机会！月赚20%，无风险。立即注册：http://fast-invest-profit.com，名额有限。,诈骗
310,您的包裹被海关扣留，需支付关税150元。回复处理，否则销毁。账号：8765432109。,诈骗
311,紧急！您的信用卡被盜刷5000元。请立即回复卡号和CVV核实：http://card-security-check.net。,诈骗
