name,city,ip,score,comment_time,goods_type,comment
琉璃仙境,广州,106.56.78.90,3,2025/5/9 11:22,服装鞋帽,衣服材质粗糙，线头凌乱，颜色与图片差异巨大，上身效果极其糟糕，非常失望！
清风徐来,深圳,165.23.89.12,5,2025/1/18 17:58,家居用品,收纳盒质量上乘，没有异味，尺寸精准，就是快递包装略显简陋，总体很满意。
暗夜传说,哈尔滨,192.168.45.67,2,2025/3/30 14:10,电子产品,耳机音质浑浊，续航极差，客服态度恶劣，完全不值这个价格，强烈不推荐！
糖心风暴,上海,221.76.54.32,5,2025/6/5 10:25,食品饮料,这款零食味道惊艳，包装精美，分量十足，每一口都让人回味无穷，必回购！
独行天涯,广州,124.34.56.89,1,2025/1/10 8:45,运动户外,跑鞋穿着还算舒适，但鞋底偏硬，长时间运动脚底会酸痛，性价比一般。
雷神之锤,郑州,171.78.90.123,1,2025/5/29 22:05,美妆护肤,粉底液质地细腻，遮瑕效果出众，就是色号选择偏少，总体非常值得购买。
阳光雨露,北京,14.56.78.90,3,2025/2/14 13:32,母婴用品,奶瓶消毒器噪音刺耳，消毒效果差，按键反应迟钝，完全不推荐新手妈妈购买。
雷神之锤,郑州,173.78.90.123,1,2025/5/28 22:05,家具家电,空气炸锅操作简单，加热均匀，做出的食物外酥里嫩，清洁方便，太完美了！
沙漠绿洲,哈尔滨,122.34.56.78,2,2025/1/22 20:09,食品饮料,巧克力收到时已融化变形，口感黏腻难吃，包装简陋，完全不能接受！
小确幸,深圳,111.234.56.89,4,2025/3/5 7:56,运动户外,帐篷搭建便捷，防水性能出色，经受住了暴雨考验，就是重量稍重。
蓝海之谜,北京,189.76.54.32,1,2025/5/15 14:23,服装鞋帽,外套款式时尚，但面料单薄，保暖性差，这个价位应该可以做得更好。
冷锋过境,泉州,176.54.32.11,3,2025/5/8 14:23,数码配件,移动硬盘传输速度飞快，外观精致，抗震性能卓越，数据存储安全可靠。
冷锋过境,泉州,178.54.32.11,3,2025/5/18 14:23,家居用品,置物架材质脆弱，安装后摇晃不稳，螺丝孔错位，质量极其糟糕！
甜心草莓,哈尔滨,219.76.54.32,5,2025/3/22 22:45,美妆护肤,面膜精华液充足，敷后肌肤水润透亮，就是香味略浓，效果很出色。
铁血豪情,北京,173.16.34.56,2,2025/1/28 11:22,母婴用品,婴儿背带设计不合理，宝宝坐着难受，布料粗糙，完全不能用！
梦幻天堂,上海,120.23.89.12,4,2025/5/10 18:08,食品饮料,这款咖啡豆香气浓郁，研磨后油脂丰富，冲泡出的咖啡口感醇厚完美！
孤狼啸月,广州,169.90.23.45,1,2025/2/20 10:15,运动户外,瑜伽垫防滑尚可，但厚度不足，某些动作会感到不适，中规中矩。
风铃草香,哈尔滨,145.56.78.90,5,2025/4/8 13:32,家具家电,电饭煲功能齐全，煮饭快速，就是内胆容量偏小，适合小家庭使用。
墨染秋霜,北京,126.67.89.12,3,2025/3/19 9:45,服装鞋帽,裤子洗后严重缩水，完全无法穿着，卖家推卸责任，极其失望！
寒梅傲霜,上海,190.34.56.78,5,2025/1/12 17:58,电子产品,这款平板电脑性能强劲，屏幕显示惊艳，续航持久，物超所值！
逍遥剑客,哈尔滨,117.78.90.123,2,2025/5/20 22:05,家居用品,窗帘色差巨大，布料单薄，遮光效果极差，完全不能用！
珍珠贝壳,深圳,199.23.45.67,4,2025/2/25 10:22,美妆护肤,口红颜色漂亮，滋润不拔干，持久度好，就是包装略显简单。
追风少年,厦门,175.56.78.90,1,2025/4/15 15:37,母婴用品,婴儿床安装复杂，木材有毛刺需打磨，但总体还算稳固。
樱花漫舞,上海,123.34.56.89,5,2025/3/8 8:45,食品饮料,这款坚果新鲜饱满，颗颗完整，口感香脆，包装密封性极佳！
暗夜玫瑰,广州,162.78.90.12,3,2025/5/25 19:12,运动户外,登山鞋磨脚严重，走一公里就起泡，鞋底打滑，非常危险！
冷锋过境,泉州,179.54.32.11,3,2025/5/21 14:23,数码配件,键盘手感舒适，按键灵敏，背光酷炫，就是声音略大。
烈火青春,合肥,103.56.78.90,3,2025/4/29 9:30,家居用品,花瓶收到时已碎，包装极其简陋，卖家推卸责任，太差劲！
孤独星球,哈尔滨,139.90.23.45,1,2025/4/20 20:09,美妆护肤,这款精华吸收快不黏腻，使用一周皮肤明显提亮，细纹减少，效果惊艳！
糖糖部落,广州,113.34.56.78,4,2025/3/11 7:56,母婴用品,温奶器加热速度可以，但温度显示不准，需要多次测试调整。
冷锋破晓,深圳,177.54.32.11,3,2025/5/12 14:23,家具家电,吸尘器吸力强劲，噪音小，收纳方便，就是尘盒容量偏小。
水云间客,北京,200.23.45.67,5,2025/1/18 16:15,服装鞋帽,毛衣起球严重，穿两次就变形，完全不像描述的高品质！
烈火青春,合肥,109.56.78.90,3,2025/4/25 9:30,电子产品,蓝牙耳机音质纯净，降噪效果出众，佩戴舒适，续航惊人！
烈火如歌,合肥,108.56.78.90,3,2025/4/30 9:30,家居用品,茶几边角有磕碰，漆面脱落，明显是二手翻新，太坑人！
烈火如歌,合肥,110.56.78.90,3,2025/4/28 9:30,美妆护肤,眼影盘颜色漂亮，粉质细腻易上色，就是有点飞粉，总体很棒。
甜心宝贝,哈尔滨,148.89.23.67,5,2025/3/22 18:08,母婴用品,婴儿车推行顺滑，就是遮阳棚偏小，夏天可能不够用。
琉璃时光,常州,183.67.98.123,3,2025/4/5 16:58,食品饮料,这款茶叶清香扑鼻，汤色透亮，回甘持久，性价比超高！
雪落无声,广州,195.56.78.90,5,2025/2/10 13:32,运动户外,泳镜漏水严重，完全不能用，卖家还推卸责任，太气人！
琉璃时光,常州,221.56.78.90,5,2025/2/28 13:45,家具家电,电风扇风力强劲，噪音小，就是高度调节略紧，总体满意。
琉璃时光,常州,223.56.78.90,5,2025/2/25 13:45,服装鞋帽,裙子做工粗糙，拉链卡顿，线头凌乱，完全不像新品！
雷神之怒,上海,172.78.90.123,1,2025/5/26 22:05,数码配件,充电宝容量大，充电快速，外观时尚轻薄，出行必备！
龙行天下,厦门,162.34.56.78,1,2025/1/7 11:22,家居用品,沙发坐感舒适，就是颜色比图片暗，尺寸偏小。
龙行天下,厦门,164.34.56.78,1,2025/1/15 11:22,电子产品,游戏手柄按键卡顿，玩射击游戏经常失灵，严重影响游戏体验！
龙战于野,厦门,163.34.56.78,1,2025/1/10 11:22,母婴用品,奶瓶刷没用几次就掉毛，清洁效果差，可能被宝宝误食！
龙战于野,哈尔滨,165.34.56.78,1,2025/1/18 11:22,食品饮料,这款火腿咸香适中，肉质紧实，切片纹理漂亮，配酒绝佳！
玫瑰花园,青岛,125.34.56.89,5,2025/3/9 10:22,运动户外,登山包背负系统还行，就是肩带略磨，长途徒步不太舒服。
玫瑰花园,青岛,126.34.56.89,5,2025/3/12 10:22,家具家电,微波炉加热均匀，操作简单，就是按键声音略大，总体不错。
数码小王子,北京,112.34.56.78,5,2025/1/15 10:23,服装鞋帽,鞋子穿一天就开胶，鞋底硬如木板，走路脚疼，千万别买！
魔都时尚精,上海,180.158.22.91,4,2025/2/3 14:45,电子产品,智能手表功能全面，心率监测精准，续航强劲，完美替代手机！
深圳科技宅,深圳,121.35.67.102,2,2025/1/22 9:12,电子产品,买的耳机有杂音，明显是质量问题，客服处理态度很差，一直推脱不给退换。
广州吃货,哈尔滨,113.108.89.42,5,2025/3/10 18:30,食品饮料,进口零食大礼包太值了！每样都好吃，包装精美，还会再买来送朋友！
朝阳区妈妈,北京,112.36.77.88,4,2025/4/5 20:15,母婴用品,婴儿车推起来很顺滑，收纳方便，就是遮阳棚有点小，其他都很满意。
静安美妆达人,上海,180.160.33.45,3,2025/2/28 11:50,美妆护肤,粉底液颜色偏白，遮瑕效果一般，但质地很水润，适合干皮，混合皮可能不太适合。
南山程序员,哈尔滨,121.37.88.66,1,2025/3/25 13:10,电子产品,键盘用了两天就有按键失灵，联系客服没人理，这种质量也敢卖这么贵？
天河运动健将,广州,113.110.55.12,5,2025/5/12 16:20,运动户外,跑鞋穿着超级舒服，回弹性很好，跑了10公里也不累脚，已经推荐给跑友了！
海淀学霸,北京,112.38.99.11,4,2025/1/8 19:40,家居用品,台灯亮度可调，护眼效果不错，就是底座有点轻，容易碰倒，其他都很好。
徐汇小资,厦门,180.162.44.78,2,2025/4/18 8:05,家具家电,买的电风扇噪音太大，根本没法睡觉用，卖家说这是正常现象，太坑人了！
宝安主妇,深圳,121.39.12.34,5,2025/5/20 14:15,家居用品,收纳盒质量超好，没有异味，尺寸正合适，把家里收拾得整整齐齐，太满意了！
越秀茶友,广州,113.112.66.89,3,2025/6/5 20:25,食品饮料,茶叶味道还可以，但包装有点简陋，快递过程中盒子都压变形了，希望改进。
通州上班族,北京,112.40.55.67,4,2025/3/15 21:05,数码配件,充电宝容量足，充电速度快，就是有点重，放包里不太方便，但总体不错。
浦东辣妈,上海,180.164.77.90,5,2025/2/14 13:40,母婴用品,奶瓶消毒器太好用了，操作简单，消毒烘干一体，省时省力，新手妈妈必备！
龙华电竞少年,哈尔滨,121.41.23.45,1,2025/4/22 10:10,电子产品,游戏手柄按键不灵敏，玩FPS游戏根本没法用，卖家还不给退，大家千万别买！
白云吃货,广州,113.114.33.56,4,2025/5/25 14:10,食品饮料,巧克力礼盒包装精美，味道浓郁，就是有点甜，适合送人，自己吃可能会觉得太甜。
西城大叔,北京,112.42.88.12,3,2025/1/30 17:55,家具家电,电饭煲煮饭速度挺快，就是内胆有点小，一家四口勉强够用，功能还算齐全。
虹口红人,上海,180.166.55.67,5,2025/3/8 8:15,美妆护肤,口红颜色太美了！滋润不拔干，持久度也很好，包装很有质感，大牌平替！
福田白领,哈尔滨,121.43.34.56,2,2025/4/12 19:45,服装鞋帽,衬衫洗了一次就缩水严重，根本没法穿了，卖家说是我洗涤方式不对，太无语了！
番禺宝妈,广州,113.116.44.67,4,2025/5/30 16:50,母婴用品,婴儿床安装方便，没有异味，就是床垫有点薄，自己又配了一个，其他都很好。
昌平学生党,北京,112.44.99.78,5,2025/1/25 16:30,数码配件,无线耳机音质惊艳，降噪效果很棒，续航时间长，这个价格买到真是赚到了！
长宁OL,上海,180.168.66.78,3,2025/2/22 11:35,服装鞋帽,西装外套版型不错，就是料子有点厚，这个季节穿有点热，可能更适合春秋穿。
盐田户外达人,厦门,121.45.45.67,4,2025/6/3 11:05,运动户外,登山包背负系统很舒服，容量大，周末徒步背了一天也不觉得累，性价比很高。
荔湾老广,广州,113.118.55.78,1,2025/3/18 7:30,食品饮料,买的腊肠发霉了！联系客服说赔偿5元，这是打发要饭的吗？食品安全都不重视！
东城文艺青年,北京,112.46.77.89,5,2025/4/28 17:45,家居用品,香薰蜡烛味道太好闻了，燃烧均匀不挂壁，包装也很有格调，放在卧室超有氛围！
杨浦大学生,上海,180.170.77.89,4,2025/5/15 8:30,电子产品,平板电脑运行流畅，屏幕清晰，就是充电器插头有点松，其他都很完美。
光明区园丁,深圳,121.47.56.78,3,2025/1/20 21:15,家居用品,花盆设计不错，就是排水孔太小了，自己又钻了几个孔，植物才没被淹死。
海珠吃货,广州,113.120.66.89,2,2025/2/10 16:25,食品饮料,坚果礼盒里有好几包都受潮了，口感很差，卖家说可能是运输问题，但包装明明完好无损啊！
石景山健身狂,北京,112.48.66.90,5,2025/3/22 17:40,运动户外,运动手环功能齐全，心率监测很准，游泳也能戴，电池续航给力，一周才充一次电！
普陀精致girl,上海,180.172.88.90,4,2025/4/15 12:25,美妆护肤,面膜精华液很多，敷完脸水嫩嫩的，就是香味有点浓，敏感肌建议先试用。
龙岗摄影师,深圳,121.49.67.89,1,2025/5/8 22:50,电子产品,三脚架云台卡不住相机，差点把设备摔了，这种劣质产品也敢卖？已申请平台介入！
黄埔茶友,广州,113.122.77.90,5,2025/6/8 19:20,食品饮料,普洱茶饼陈香浓郁，汤色透亮，回甘持久，这个价位能买到这样的品质真是难得！
丰台宝妈,北京,112.50.88.12,3,2025/1/12 22:05,母婴用品,温奶器加热速度有点慢，夜里等得着急，但温度控制还算精准，不会过热。
闵行留学生,上海,180.174.99.01,4,2025/2/17 15:35,服装鞋帽,羽绒服保暖性很好，款式时尚，就是帽子不可拆卸，下雨天有点不方便。
坪山程序员,深圳,121.51.78.90,5,2025/3/28 16:20,数码配件,扩展坞接口齐全，传输速度快，金属外壳散热好，完美解决MacBook接口少的问题！
从化运动爱好者,广州,113.124.88.01,2,2025/4/25 10:55,运动户外,买的泳镜漏水严重，根本没法用，卖家说是我没戴好，明明就是设计缺陷！
顺义农场主,北京,112.52.99.23,4,2025/5/18 13:40,家居用品,园艺工具套装很实用，做工扎实，就是收纳包有点小，所有工具不能同时放进去。
嘉定白领,厦门,180.176.11.12,3,2025/6/1 18:50,家具家电,空气炸锅操作简单，但容量比预期小，一家三口有点不够用，适合单身或情侣。
大鹏旅游达人,深圳,121.53.89.01,5,2025/1/28 10:25,运动户外,帐篷搭建方便，防风防水效果很好，海边露营遇到大雨也完全没漏水，非常满意！
增城吃货,广州,113.126.99.12,1,2025/2/20 14:15,食品饮料,买的进口巧克力都融化了，黏在包装纸上根本没法吃，这种天气就不该发巧克力！
怀柔摄影师,北京,112.54.11.34,4,2025/3/5 15:40,电子产品,相机清洁套装很齐全，气吹和镜头笔都很好用，就是清洁液味道有点刺鼻。
金山主妇,上海,180.178.22.23,5,2025/4/2 11:55,家居用品,厨房置物架承重能力强，不锈钢材质好打理，把调料瓶都收纳得整整齐齐，太实用了！
大浪健身教练,深圳,121.55.99.12,3,2025/5/22 7:15,运动户外,瑜伽垫厚度适中，防滑效果不错，就是刚开始有点味道，晾了两天才散去。
花都茶艺师,广州,113.128.11.23,4,2025/6/10 9:20,食品饮料,茶具套装很精美，壶嘴出水流畅，就是茶杯有点小，适合一个人慢慢品茶。
星辰物语,成都,118.23.45.67,5,2025/4/20 14:30,电子产品,平板电脑性价比太高！屏幕清晰续航强，追剧上网课都够用，这个价位绝了～
紫月琉璃,杭州,184.90.23.45,4,2025/2/25 15:45,服装鞋帽,丝绸衬衫质感高级！剪裁宽松显瘦，颜色和图片一致，客服推荐的尺码很准～
琉璃小巷,重庆,107.56.78.90,3,2025/5/12 11:22,家居用品,厨房抹布吸水速干！图案可爱实用，但稍微有点掉毛，胜在价格实惠～
清风竹影,武汉,166.23.89.12,5,2025/1/22 17:58,美妆护肤,精华液吸收超快！保湿效果超好，用完皮肤滑嫩嫩的，赠品也很多～
暗夜微光,西安,193.168.45.67,2,2025/3/25 14:10,数码配件,手机数据线接触不良！用了半个月就断连，客服说人为损坏，质量明显不过关！
糖心蜜语,苏州,222.76.54.32,5,2025/6/1 10:25,家具家电,扫地机器人太智能了！自动规划路线，清洁超彻底，噪音小，解放双手神器～
独行江湖,天津,125.34.56.89,1,2025/1/15 8:45,食品饮料,即食玉米全是淀粉味！口感生硬难以下咽，客服说批次问题，完全是踩雷！
紫霞云梦,南京,180.80.23.45,4,2025/4/18 19:08,运动户外,徒步鞋防滑耐磨！鞋底弹性好，爬山一整天脚不疼，就是鞋带容易松开～
阳光晨曦,长沙,15.56.78.90,3,2025/2/18 13:32,母婴用品,儿童水杯设计可爱！但吸管容易漏水，胜在价格便宜适合幼儿园使用～
梦幻星辰,无锡,119.23.89.12,4,2025/5/5 18:08,母婴用品,婴儿连体衣面料柔软！无骨缝制不磨皮肤，花色可爱，客服推荐的尺码很准～
沙漠胡杨,青岛,123.34.56.78,2,2025/1/28 20:09,服装鞋帽,羽绒服充绒量不足！零下几度穿根本不保暖，客服说按国标充绒，太敷衍了！
梦幻星辰,无锡,121.23.89.12,4,2025/5/12 18:08,家居用品,保鲜盒密封条变形关不严，漏水严重，冰箱里全是水，气死了！
蓝海之约,大连,190.76.54.32,1,2025/5/18 14:23,家具家电,热水器出水忽冷忽热！售后上门维修两次没解决，彻底失望！
水云潇湘,南宁,199.23.45.67,5,2025/1/25 16:15,运动户外,运动手表功能强大！心率监测准确，续航一周没问题，颜值也高，推荐～
水云潇湘,南宁,201.23.45.67,5,2025/1/22 16:15,运动户外,露营帐篷搭建简单！防风防水效果好，空间宽敞，周末露营必备～
甜心橙子,昆明,220.76.54.32,5,2025/3/15 22:45,食品饮料,蓝莓超级新鲜！颗颗饱满多汁，冷链运输超保鲜，比水果店便宜太多～
铁血征途,济南,174.16.34.56,2,2025/1/30 11:22,运动户外,健身手套材质差！用了一周就磨破，客服说正常损耗，敷衍了事！
甜心公主,长春,147.89.23.67,5,2025/3/28 18:08,美妆护肤,面膜补水效果超好！精华液超多，敷完皮肤水水润润的，囤了好几盒～
甜心公主,长春,149.89.23.67,5,2025/3/25 18:08,美妆护肤,面霜滋润不油腻！抗皱效果明显，用了一个月皮肤细腻不少，会回购～
风铃草韵,南昌,146.56.78.90,5,2025/4/10 13:32,数码配件,智能手表功能齐全！心率、睡眠监测精准，还能接打电话，性价比无敌～
墨染夏荷,长春,127.67.89.12,3,2025/3/28 9:45,服装鞋帽,连衣裙设计感强！但面料有点扎皮肤，洗后轻微缩水，建议拍大一码～
甜心公主,长春,150.89.23.67,5,2025/3/28 18:08,美妆护肤,眼霜质地轻薄！淡化黑眼圈效果肉眼可见，用了一个月眼周细纹少了～
铁血丹心,太原,106.23.45.67,2,2025/1/18 11:08,服装鞋帽,牛仔裤掉色严重！第一次洗水全蓝了，客服说深色正常，这质量谁敢再买？
珍珠海岸,佛山,200.23.45.67,4,2025/2/28 10:22,食品饮料,牛肉干肉质紧实！味道香辣适中，独立包装方便携带，就是分量有点少～
铁血丹心,太原,129.90.23.45,3,2025/5/15 10:15,服装鞋帽,运动套装面料透气！但裤腰松紧太松，跑步时总往下掉，设计有缺陷～
铁血丹心,太原,108.23.45.67,2,2025/1/20 11:08,家居用品,花盆底部无排水孔，导致植物烂根，设计太不专业了！
铁血丹心,太原,109.23.45.67,2,2025/1/25 11:08,服装鞋帽,羽绒服跑绒严重！穿一天衣服里全是绒毛，客服说高密度面料正常现象～
铁血柔情,济南,128.90.23.45,3,2025/5/20 10:15,服装鞋帽,卫衣面料有点薄，适合春秋穿，颜色比图片暗一些，总体还算满意吧。
琉璃岁月,常州,222.56.78.90,5,2025/2/22 13:45,家居用品,地垫脚感舒适！防滑设计安全，吸水速干，放在卫生间门口超合适～
铁血柔情,济南,107.23.45.67,2,2025/1/30 11:08,服装鞋帽,皮衣有刺鼻异味！晾了一周还是臭，客服说通风即可，严重怀疑甲醛超标！
糖糖乐园,南通,114.34.56.78,4,2025/3/15 7:56,美妆护肤,爽肤水保湿效果好！质地清爽易吸收，搭配同系列乳液皮肤更水润～
铁血柔情,济南,130.90.23.45,3,2025/5/18 10:15,服装鞋帽,充电宝容量虚标，发热严重，存在安全隐患！
铁血柔情,济南,131.90.23.45,3,2025/5/24 10:15,服装鞋帽,运动裤面料舒适！但裤腿裁剪不合理，跑步时磨大腿，建议优化版型～
铁血战士,厦门,172.16.34.56,2,2025/1/31 11:22,运动户外,瑜伽垫味道太大！通风晾了三天还是刺鼻，客服说正常现象，严重怀疑质量！
铁血战士,厦门,166.23.45.67,2,2025/5/12 19:12,美妆护肤,粉底液氧化严重！涂完两小时就发黄，客服说肤质问题，简直无理取闹！
铁血战士,厦门,167.23.45.67,2,2025/5/7 19:12,运动户外,跑鞋鞋底太硬，跑了3公里就脚底起泡，完全不适合长跑！
铁血战士,厦门,168.23.45.67,2,2025/5/10 19:12,美妆护肤,睫毛膏容易结块！刷完苍蝇腿明显，客服说使用方法不对，体验很差！
铁血战士,厦门,169.23.45.67,2,2025/5/13 19:12,美妆护肤,口红质地拔干！涂完嘴唇起皮，颜色和官网色差大，踩雷了！
逍遥居士,南宁,116.78.90.123,2,2025/5/25 22:05,美妆护肤,口红颜色严重失真！实物比图片深很多，质地还拔干，客服说光线问题不承认！
逍遥居士,南宁,118.78.90.123,2,2025/5/15 22:05,美妆护肤,眼影飞粉严重！上色度差，配色也显脏，完全不值这个价格，踩雷了！
小幸运草,南宁,105.56.78.90,4,2025/1/22 11:08,数码配件,摄像头画质清晰！安装简单，手机远程查看方便，家庭安防好帮手～
小幸运草,长沙,106.56.78.90,4,2025/1/25 11:08,家居用品,买的碗碟套装碎了3个，包装简陋得像地摊货，太差劲了！
